Years,In millions of dollars:,National Defense,Human resources,"Education, Training, Employment, and Social Services",Health,Medicare,Income Security,Social Security,(On-budget),(Off-budget),Veterans Benefits and Services,Physical resources,Energy,Natural Resources and Environment,Commerce and Housing Credit,(On-budget),(Off-budget),Transportation,Community and Regional Development,Net interest,(On-budget),(Off-budget),Other functions,International Affairs,"General Science, Space, and Technology",Agriculture,Administration of Justice,General Government,Allowances,Undistributed offsetting receipts,(On-budget),(Off-budget),"Total, Federal outlays",(On-budget),(Off-budget),As percentages of outlays:,National defense,Human resources,Physical resources,Net interest,Other functions,Undistributed offsetting receipts,"Total, Federal outlays",(On-budget),(Off-budget),As percentages of GDP:,National defense,Human resources,Physical resources,Net interest,Other functions,Undistributed offsetting receipts,"Total, Federal outlays",(On-budget),(Off-budget),* 0.05 percent or less
1940,,"1,660","4,139","1,972",55,..........,"1,514",28,..........,28,570,"2,312",88,997,550,550,..........,392,285,899,941,-42,775,51,..........,369,81,274,..........,-317,-317,..........,"9,468","9,482",-14,,17.5,43.7,24.4,9.5,8.2,-3.4,100.0,100.2,-0.2,,1.7,4.2,2.4,0.9,0.8,-0.3,9.6,9.7,,
1941,,"6,435","4,158","1,592",60,..........,"1,855",91,..........,91,560,"1,782",91,817,398,398,..........,353,123,943,999,-56,882,145,..........,339,92,306,..........,-547,-547,..........,"13,653","13,618",35,,47.1,30.5,13.1,6.9,6.5,-4.0,100.0,99.7,0.3,,5.5,3.6,1.5,0.8,0.8,-0.5,11.7,11.7,,
1942,,"25,658","3,599","1,062",71,..........,"1,828",137,..........,137,501,"3,892",156,819,"1,521","1,521",..........,"1,283",113,"1,052","1,123",-71,"1,830",968,4,344,117,397,..........,-894,-894,..........,"35,137","35,071",66,,73.0,10.2,11.1,3.0,5.2,-2.5,100.0,99.8,0.2,,17.4,2.4,2.6,0.7,1.2,-0.6,23.8,23.7,,
1943,,"66,699","2,659",375,92,..........,"1,739",177,..........,177,276,"6,433",116,726,"2,151","2,151",..........,"3,220",219,"1,529","1,616",-87,"2,457","1,286",1,343,154,673,..........,"-1,221","-1,221",..........,"78,555","78,466",89,,84.9,3.4,8.2,1.9,3.1,-1.6,100.0,99.9,0.1,,36.1,1.4,3.5,0.8,1.3,-0.7,42.6,42.5,,
1944,,"79,143","1,928",160,174,..........,"1,503",217,..........,217,-126,"5,471",65,642,624,624,..........,"3,901",238,"2,219","2,322",-103,"3,864","1,449",48,"1,275",192,900,..........,"-1,320","-1,320",..........,"91,304","91,190",114,,86.7,2.1,6.0,2.4,4.2,-1.4,100.0,99.9,0.1,,37.0,0.9,2.6,1.0,1.8,-0.6,42.7,42.7,0.1,
1945,,"82,965","1,859",134,211,..........,"1,137",267,..........,267,110,"1,747",25,455,"-2,630","-2,630",..........,"3,654",243,"3,112","3,236",-124,"4,418","1,913",111,"1,635",178,581,..........,"-1,389","-1,389",..........,"92,712","92,569",143,,89.5,2.0,1.9,3.4,4.8,-1.5,100.0,99.8,0.2,,36.6,0.8,0.8,1.4,2.0,-0.6,41.0,40.9,0.1,
1946,,"42,681","5,493",85,201,..........,"2,384",358,..........,358,"2,465",836,41,482,"-1,857","-1,857",..........,"1,970",200,"4,111","4,259",-148,"3,580","1,935",34,610,176,825,..........,"-1,468","-1,468",..........,"55,232","55,022",210,,77.3,9.9,1.5,7.4,6.5,-2.7,100.0,99.6,0.4,,18.7,2.4,0.4,1.8,1.6,-0.6,24.2,24.1,0.1,
1947,,"12,808","9,909",102,177,..........,"2,820",466,..........,466,"6,344","1,227",18,700,-923,-923,..........,"1,130",302,"4,204","4,367",-163,"7,900","5,791",5,814,176,"1,114",..........,"-1,552","-1,552",..........,"34,496","34,193",303,,37.1,28.7,3.6,12.2,22.9,-4.5,100.0,99.1,0.9,,5.4,4.1,0.5,1.8,3.3,-0.6,14.4,14.3,0.1,
1948,,"9,105","9,868",191,162,..........,"2,499",558,..........,558,"6,457","2,243",292,780,306,306,..........,787,78,"4,341","4,532",-191,"5,851","4,566",1,69,170,"1,045",..........,"-1,643","-1,643",..........,"29,764","29,396",368,,30.6,33.2,7.5,14.6,19.7,-5.5,100.0,98.8,1.2,,3.5,3.8,0.9,1.7,2.2,-0.6,11.4,11.2,0.1,
1949,,"13,150","10,805",178,197,..........,"3,174",657,..........,657,"6,599","3,104",341,"1,080",800,800,..........,916,-33,"4,523","4,753",-230,"9,032","6,052",48,"1,924",184,824,..........,"-1,779","-1,779",..........,"38,835","38,408",427,,33.9,27.8,8.0,11.6,23.3,-4.6,100.0,98.9,1.1,,4.8,3.9,1.1,1.6,3.3,-0.6,14.0,13.9,0.2,
1950,,"13,724","14,221",241,268,..........,"4,097",781,..........,781,"8,834","3,667",327,"1,308","1,035","1,035",..........,967,30,"4,812","5,069",-257,"7,955","4,673",55,"2,049",193,986,..........,"-1,817","-1,817",..........,"42,562","42,038",524,,32.2,33.4,8.6,11.3,18.7,-4.3,100.0,98.8,1.2,,4.9,5.1,1.3,1.7,2.9,-0.7,15.3,15.1,0.2,
1951,,"23,566","11,001",235,323,..........,"3,352","1,565",..........,"1,565","5,526","3,924",383,"1,310","1,228","1,228",..........,956,47,"4,665","4,952",-287,"4,690","3,647",51,-323,218,"1,097",..........,"-2,332","-2,332",..........,"45,514","44,237","1,277",,51.8,24.2,8.6,10.2,10.3,-5.1,100.0,97.2,2.8,,7.2,3.4,1.2,1.4,1.4,-0.7,13.9,13.5,0.4,
1952,,"46,089","11,745",339,347,..........,"3,655","2,063",..........,"2,063","5,341","4,182",474,"1,233","1,278","1,278",..........,"1,124",73,"4,701","5,035",-334,"4,346","2,691",49,176,267,"1,163",..........,"-3,377","-3,377",..........,"67,686","65,956","1,730",,68.1,17.4,6.2,6.9,6.4,-5.0,100.0,97.4,2.6,,12.9,3.3,1.2,1.3,1.2,-0.9,19.0,18.5,0.5,
1953,,"52,802","11,836",441,336,..........,"3,823","2,717",..........,"2,717","4,519","4,005",425,"1,289",910,910,..........,"1,264",117,"5,156","5,543",-387,"5,873","2,119",49,"2,253",243,"1,209",..........,"-3,571","-3,571",..........,"76,101","73,771","2,330",,69.4,15.6,5.3,6.8,7.7,-4.7,100.0,96.9,3.1,,13.8,3.1,1.0,1.3,1.5,-0.9,19.9,19.3,0.6,
1954,,"49,266","13,076",370,307,..........,"4,434","3,352",..........,"3,352","4,613","2,584",432,"1,007",-184,-184,..........,"1,229",100,"4,811","5,250",-439,"4,515","1,596",46,"1,817",257,799,..........,"-3,397","-3,396",-1,"70,855","67,943","2,912",,69.5,18.5,3.6,6.8,6.4,-4.8,100.0,95.9,4.1,,12.7,3.4,0.7,1.2,1.2,-0.9,18.3,17.5,0.8,
1955,,"42,729","14,908",445,291,..........,"5,071","4,427",..........,"4,427","4,675","2,732",325,940,92,92,..........,"1,246",129,"4,850","5,288",-438,"6,718","2,223",74,"3,514",256,651,..........,"-3,493","-3,487",-6,"68,444","64,461","3,983",,62.4,21.8,4.0,7.1,9.8,-5.1,100.0,94.2,5.8,,10.5,3.7,0.7,1.2,1.7,-0.9,16.8,15.9,1.0,
1956,,"42,523","16,052",591,359,..........,"4,734","5,478",..........,"5,478","4,891","3,092",174,870,506,506,..........,"1,450",92,"5,079","5,567",-487,"7,482","2,414",79,"3,486",302,"1,201",..........,"-3,589","-3,571",-18,"70,640","65,668","4,972",,60.2,22.7,4.4,7.2,10.6,-5.1,100.0,93.0,7.0,,9.7,3.7,0.7,1.2,1.7,-0.8,16.1,15.0,1.1,
1957,,"45,430","18,161",590,479,..........,"5,427","6,661",..........,"6,661","5,005","4,559",240,"1,098","1,424","1,424",..........,"1,662",135,"5,354","5,910",-557,"7,220","3,147",122,"2,288",303,"1,360",..........,"-4,146","-4,058",-88,"76,578","70,562","6,016",,59.3,23.7,6.0,7.0,9.4,-5.4,100.0,92.1,7.9,,9.8,3.9,1.0,1.2,1.6,-0.9,16.5,15.2,1.3,
1958,,"46,815","22,288",643,541,..........,"7,535","8,219",..........,"8,219","5,350","5,188",348,"1,407",930,930,..........,"2,334",169,"5,604","6,175",-571,"6,896","3,364",141,"2,411",325,655,..........,"-4,385","-4,240",-145,"82,405","74,902","7,503",,56.8,27.0,6.3,6.8,8.4,-5.3,100.0,90.9,9.1,,9.9,4.7,1.1,1.2,1.5,-0.9,17.4,15.8,1.6,
1959,,"49,015","24,892",789,685,..........,"8,239","9,737",..........,"9,737","5,443","7,813",382,"1,632","1,933","1,933",..........,"3,655",211,"5,762","6,338",-576,"9,229","3,144",294,"4,509",356,926,..........,"-4,613","-4,449",-164,"92,098","83,102","8,996",,53.2,27.0,8.5,6.3,10.0,-5.0,100.0,90.2,9.8,,9.7,4.9,1.5,1.1,1.8,-0.9,18.3,16.5,1.8,
