Years,050 National Defense:,051 Department of Defense-Military:,Military Personnel,Operation and Maintenance,Procurement,"Research, Development, Test, and Evaluation",Military Construction,Family Housing,Other,"051 Subtotal, Department of Defense-Military",053 Atomic energy defense activities,054 Defense-related activities,"Total, National Defense",150 International Affairs:,151 International development and humanitarian assistance,152 International security assistance,153 Conduct of foreign affairs,154 Foreign information and exchange activities,155 International financial programs,"Total, International Affairs","250 General Science, Space, and Technology:",251 General science and basic research,"252 Space flight, research, and supporting activities","Total, General Science, Space, and Technology",270 Energy:,271 Energy supply,272 Energy conservation,274 Emergency energy preparedness,"276 Energy information, policy, and regulation","Total, Energy",300 Natural Resources and Environment:,301 Water resources,302 Conservation and land management,303 Recreational resources,304 Pollution control and abatement,306 Other natural resources,"Total, Natural Resources and Environment",350 Agriculture:,351 Farm income stabilization,352 Agricultural research and services,"Total, Agriculture",370 Commerce and Housing Credit:,371 Mortgage credit,372 Postal service,(On-budget),(Off-budget),373 Deposit insurance,376 Other advancement of commerce,"Total, Commerce and Housing Credit",(On-budget),(Off-budget),400 Transportation:,401 Ground transportation,402 Air transportation,403 Water transportation,407 Other transportation,"Total, Transportation",450 Community and Regional Development:,451 Community development,452 Area and regional development,453 Disaster relief and insurance,"Total, Community and Regional Development","500 Education, Training, Employment, and Social Services:","501 Elementary, secondary, and vocational education",502 Higher education,503 Research and general education aids,504 Training and employment,505 Other labor services,506 Social services,"Total, Education, Training, Employment, and Social Services",550 Health:,551 Health care services,552 Health research and training,554 Consumer and occupational health and safety,"Total, Health",570 Medicare:,571 Medicare,600 Income Security:,601 General retirement and disability insurance (excluding social security),602 Federal employee retirement and disability,603 Unemployment compensation,604 Housing assistance,605 Food and nutrition assistance,609 Other income security,"Total, Income Security",650 Social Security:,651 Social security,(On-budget),(Off-budget),700 Veterans Benefits and Services:,701 Income security for veterans,"702 Veterans education, training, and rehabilitation",703 Hospital and medical care for veterans,704 Veterans housing,705 Other veterans benefits and services,"Total, Veterans Benefits and Services",750 Administration of Justice:,751 Federal law enforcement activities,752 Federal litigative and judicial activities,753 Federal correctional activities,754 Criminal justice assistance,"Total, Administration of Justice",800 General Government:,801 Legislative functions,802 Executive direction and management,803 Central fiscal operations,804 General property and records management,805 Central personnel management,806 General purpose fiscal assistance,808 Other general government,809 Deductions for offsetting receipts,"Total, General Government",900 Net Interest:,901 Interest on Treasury debt securities (gross),902 Interest received by on-budget trust funds,903 Interest received by off-budget trust funds,908 Other interest,(On-budget),(Off-budget),909 Other investment income,"Total, Net Interest",(On-budget),(Off-budget),920 Allowances:,922 Reductions for Joint Committee Enforcement (Nondefense),923 Infrastructure Initiative,924 Adjustment for Budget Control Act Caps (Non-Security),926 Spectrum relocation,927 Disability insurance reforms,"Total, Allowances",950 Undistributed Offsetting Receipts:,"951 Employer share, employee retirement (on-budget)","952 Employer share, employee retirement (off-budget)",953 Rents and royalties on the Outer Continental Shelf,954 Sale of major assets,959 Other undistributed offsetting receipts,"Total, Undistributed Offsetting Receipts",(On-budget),(Off-budget),Total outlays,(On-budget),(Off-budget),N/A = Not available,On-budget unless otherwise stated,,,,,,,,,,,,,,,,,,,,,,,,,
1962,,,"16,331","11,594","14,532","6,319","1,347",259,-271,"50,111","2,074",160,"52,345",,"2,883","1,958",249,197,353,"5,639",,497,"1,226","1,723",,533,...........,...........,71,604,,"1,290",376,123,70,186,"2,044",,"3,222",340,"3,562",,650,797,797,..........,-394,371,"1,424","1,424",..........,,"2,855",818,617,...........,"4,290",,266,179,23,469,,482,328,58,189,74,110,"1,241",,528,580,89,"1,198",,...........,,661,"1,959","3,809",165,275,"2,338","9,207",,"14,365",..........,"14,365",,"3,970",151,"1,084",242,172,"5,619",,269,111,49,...........,429,,178,12,492,403,22,212,28,-299,"1,049",,"9,120",-824,-609,-797,-797,..........,...........,"6,889","7,498",-609,,...........,...........,...........,...........,...........,...........,,"-5,042",-221,-12,...........,...........,"-5,274","-5,053",-221,"106,821","93,286","13,535",,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,,,"16,256","11,874","16,632","6,376","1,144",563,"-1,696","51,147","2,041",212,"53,400",,"3,079","2,185",346,201,-503,"5,308",,534,"2,516","3,051",,451,...........,...........,80,530,,"1,448",357,148,87,212,"2,251",,"4,047",337,"4,384",,-592,770,770,..........,-423,307,62,62,..........,,"3,090",851,655,...........,"4,596",,233,307,34,574,,553,426,55,203,84,137,"1,458",,623,722,106,"1,451",,...........,,632,"2,240","3,344",179,284,"2,633","9,311",,"15,788",..........,"15,788",,"4,208",95,"1,145",-104,171,"5,514",,288,124,53,...........,465,,176,13,542,439,22,232,63,-257,"1,230",,"9,895",-895,-582,-678,-678,..........,...........,"7,740","8,322",-582,,...........,...........,...........,...........,...........,...........,,"-5,188",-242,-367,...........,...........,"-5,797","-5,555",-242,"111,316","96,352","14,964",,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,,,"17,422","11,932","15,351","7,021","1,026",550,-717,"52,585","1,902",270,"54,757",,"3,367","1,830",231,207,-690,"4,945",,766,"4,131","4,897",,485,...........,...........,87,572,,"1,461",364,167,117,255,"2,364",,"4,241",368,"4,609",,-54,578,578,..........,-436,331,418,418,..........,,"3,715",882,646,...........,"5,242",,316,592,25,933,,579,382,62,291,72,169,"1,555",,740,925,123,"1,788",,...........,,682,"2,554","3,178",150,308,"2,785","9,657",,"16,620",..........,"16,620",,"4,148",71,"1,229",49,179,"5,675",,306,131,53,...........,489,,174,15,607,532,23,241,150,-224,"1,518",,"10,666","-1,006",-607,-855,-855,..........,...........,"8,199","8,805",-607,,...........,...........,...........,...........,...........,...........,,"-5,413",-279,-16,...........,...........,"-5,708","-5,429",-279,"118,528","102,794","15,734",,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,,,"17,913","12,349","11,839","6,236","1,007",563,"-1,127","48,780","1,620",220,"50,620",,"3,357","1,599",336,224,-242,"5,273",,789,"5,034","5,823",,602,...........,...........,97,699,,"1,546",384,175,134,292,"2,531",,"3,551",404,"3,954",,277,805,805,..........,-389,465,"1,157","1,157",..........,,"4,105",941,717,...........,"5,763",,413,648,53,"1,114",,719,413,92,528,97,291,"2,140",,881,780,130,"1,791",,...........,,668,"2,865","2,577",231,299,"2,828","9,469",,"17,460",..........,"17,460",,"4,216",52,"1,269",5,173,"5,716",,333,146,57,...........,536,,189,17,636,624,23,238,39,-266,"1,499",,"11,346","-1,121",-648,-986,-986,..........,...........,"8,591","9,239",-648,,...........,...........,...........,...........,...........,...........,,"-5,572",-282,-53,...........,...........,"-5,908","-5,626",-282,"118,228","101,699","16,529",,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,,,"20,009","14,710","14,339","6,259","1,334",569,-590,"56,629","1,466",16,"58,111",,"3,478","1,590",354,228,-69,"5,580",,858,"5,858","6,717",,510,...........,...........,101,612,,"1,704",351,189,158,317,"2,719",,"2,004",444,"2,447",,"2,494",888,888,..........,-486,348,"3,245","3,245",..........,,"4,072",961,695,3,"5,730",,423,448,234,"1,105",,"1,627",706,122,983,101,823,"4,363",,"1,486",918,138,"2,543",,64,,736,"3,326","2,215",238,363,"2,799","9,678",,"20,694",..........,"20,694",,"4,185",51,"1,318",173,188,"5,916",,355,153,55,1,564,,208,17,671,575,25,268,79,-241,"1,603",,"12,014","-1,259",-642,-727,-727,..........,...........,"9,386","10,028",-642,,...........,...........,...........,...........,...........,...........,,"-5,957",-337,-248,...........,...........,"-6,542","-6,205",-337,"134,532","114,817","19,715",,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,,,"22,952","19,000","19,012","7,160","1,536",485,-76,"70,069","1,277",71,"71,417",,"3,085","1,530",369,245,338,"5,566",,897,"5,336","6,233",,673,...........,...........,109,782,,"1,685",417,222,190,354,"2,869",,"2,515",475,"2,990",,"2,846","1,141","1,141",..........,-401,394,"3,979","3,979",..........,,"4,139","1,042",749,6,"5,936",,580,450,78,"1,108",,"2,310","1,161",156,"1,233",107,"1,486","6,453",,"2,004","1,184",163,"3,351",,"2,748",,731,"3,802","2,263",271,418,"2,776","10,261",,"21,725",94,"21,631",,"4,547",300,"1,390",308,190,"6,735",,389,165,58,6,618,,218,19,725,646,19,305,101,-314,"1,719",,"13,391","-1,492",-792,-839,-839,..........,...........,"10,268","11,060",-792,,...........,...........,...........,...........,...........,...........,,"-6,242",-415,-637,...........,...........,"-7,294","-6,879",-415,"157,464","137,040","20,424",,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,,,"25,118","20,578","23,283","7,747","1,281",495,"1,853","80,355","1,336",235,"81,926",,"2,879","1,051",354,253,765,"5,301",,930,"4,594","5,524",,918,...........,...........,118,"1,037",,"1,644",457,269,249,370,"2,988",,"4,032",512,"4,544",,"3,261","1,080","1,080",..........,-522,462,"4,280","4,280",..........,,"4,378","1,084",841,13,"6,316",,649,613,120,"1,382",,"2,516","1,394",240,"1,582",112,"1,791","7,634",,"2,694","1,517",179,"4,390",,"4,649",,944,"4,285","2,527",312,505,"3,243","11,816",,"23,854",94,"23,760",,"4,668",470,"1,468",215,212,"7,032",,409,178,63,8,659,,237,21,745,497,37,339,126,-245,"1,757",,"14,573","-1,689",-979,-816,-816,..........,...........,"11,090","12,069",-979,,...........,...........,...........,...........,...........,...........,,"-6,639",-445,-961,...........,...........,"-8,045","-7,600",-445,"178,134","155,798","22,336",,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,,,"26,914","22,227","23,988","7,457","1,389",574,"-1,777","80,771","1,389",337,"82,497",,"2,484","1,102",370,237,407,"4,600",,938,"4,082","5,020",,887,...........,...........,122,"1,010",,"1,591",323,315,303,368,"2,900",,"5,304",521,"5,826",,-720,920,920,..........,-603,284,-119,-119,..........,,"4,443","1,206",857,21,"6,526",,833,679,40,"1,552",,"2,470","1,234",210,"1,560",122,"1,952","7,548",,"3,360","1,599",203,"5,162",,"5,695",,"1,035","4,782","2,577",383,587,"3,712","13,076",,"27,298",414,"26,885",,"5,041",691,"1,562",107,230,"7,631",,470,202,65,29,766,,254,25,790,543,38,430,40,-181,"1,939",,"16,588","-1,953","-1,149",-788,-788,..........,...........,"12,699","13,848","-1,149",,...........,...........,...........,...........,...........,...........,,"-7,026",-532,-428,...........,...........,"-7,986","-7,454",-532,"183,640","158,436","25,204",,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,,,"29,032","21,609","21,584","7,166","1,168",614,"-1,050","80,123","1,415",154,"81,692",,"2,341","1,094",398,235,261,"4,330",,947,"3,564","4,511",,856,...........,...........,142,997,,"1,514",436,303,384,428,"3,065",,"4,589",577,"5,166",,590,"1,510","1,510",..........,-501,513,"2,112","2,112",..........,,"4,678","1,408",895,26,"7,008",,"1,449",685,257,"2,392",,"2,893","1,387",355,"1,602",135,"2,263","8,634",,"3,993","1,688",226,"5,907",,"6,213",,"1,032","5,545","3,359",499,960,"4,260","15,655",,"30,270",458,"29,812",,"5,552","1,002","1,798",62,255,"8,669",,571,245,79,65,959,,303,30,914,551,44,535,121,-177,"2,320",,"19,304","-2,367","-1,568",-989,-989,..........,...........,"14,380","15,948","-1,568",,...........,...........,...........,...........,...........,...........,,"-7,808",-637,-187,...........,...........,"-8,632","-7,995",-637,"195,649","168,042","27,607",,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,,,"29,079","20,941","18,858","7,303","1,095",598,-376,"77,497","1,385",-10,"78,872",,"2,296","1,367",405,241,-150,"4,159",,"1,009","3,172","4,182",,880,...........,...........,155,"1,035",,"1,768",553,397,702,495,"3,915",,"3,651",639,"4,290",,74,"2,183","2,183",..........,-383,492,"2,366","2,366",..........,,"5,182","1,807","1,027",37,"8,052",,"1,728",835,353,"2,917",,"3,333","1,435",295,"1,952",157,"2,677","9,849",,"4,766","1,801",277,"6,843",,"6,622",,"1,613","6,585","6,166",764,"2,179","5,640","22,946",,"35,872",465,"35,408",,"5,973","1,644","2,034",-171,287,"9,768",,693,287,94,233,"1,307",,342,38,991,573,51,535,126,-214,"2,442",,"20,959","-2,820","-1,942","-1,356","-1,356",..........,...........,"14,841","16,783","-1,942",,...........,...........,...........,...........,...........,...........,,"-8,417",-640,"-1,051",...........,...........,"-10,107","-9,467",-640,"210,172","177,346","32,826",,,,,,,,,,,,,,,,,,,,,,,,,,,
