Years,Legislative Branch,Judicial Branch,Department of Agriculture,Department of Commerce,Department of Defense--Military Programs,Department of Education,Department of Energy,Department of Health and Human Services,Department of Homeland Security,Department of Housing and Urban Development,Department of the Interior,Department of Justice,Department of Labor,Department of State,Department of Transportation,Department of the Treasury,Department of Veterans Affairs,Corps of Engineers--Civil Works,Other Defense Civil Programs,Environmental Protection Agency,Executive Office of the President,General Services Administration,International Assistance Programs,National Aeronautics and Space Administration,National Science Foundation,Office of Personnel Management,Small Business Administration,Social Security Administration (On-Budget),Social Security Administration (Off-Budget),Other Independent Agencies (On-Budget),Other Independent Agencies (Off-Budget),Allowances,Undistributed Offsetting Receipts,(On-budget),(Off-budget),Total outlays,
1962,196,57,"6,437",215,"50,111",816,"2,755","3,529",566,826,606,236,"3,914",457,"3,854","8,474","5,608",944,956,70,12,382,"3,171","1,257",183,"1,017",230,..........,"14,365","2,283",..........,..........,"-6,707","-5,878",-830,"106,821",
1963,192,62,"7,414",354,"51,147",985,"2,700","4,110",642,-609,730,256,"3,523",572,"4,145","9,553","5,501","1,065","1,077",87,13,425,"3,169","2,552",206,"1,175",142,..........,"15,788","1,615",..........,..........,"-7,274","-6,450",-824,"111,316",
1964,199,66,"7,569",702,"52,585",973,"2,726","4,610",747,73,755,275,"3,454",455,"4,736","10,289","5,662","1,091","1,287",117,15,520,"3,226","4,171",310,"1,304",133,..........,"16,620","1,178",..........,..........,"-7,321","-6,435",-886,"118,528",
1965,212,75,"6,940",736,"48,780","1,152","2,579","4,700",774,492,745,327,"3,121",552,"5,201","10,791","5,710","1,171","1,465",134,16,612,"3,248","5,092",309,"1,454",243,..........,"17,460","1,815",..........,..........,"-7,677","-6,746",-931,"118,228",
1966,234,80,"5,633",485,"56,629","2,416","2,343","5,715",705,"2,482",866,305,"3,239",629,"5,145","11,761","5,962","1,245","1,681",158,16,561,"3,260","5,933",368,"1,726",210,..........,"20,694","2,494",..........,..........,"-8,443","-7,464",-979,"134,532",
1967,252,88,"5,952",477,"70,069","3,596","2,253","9,639",782,"3,093",863,336,"3,562",655,"5,242","12,737","6,691","1,273","1,937",190,19,629,"3,375","5,425",415,"1,934",151,94,"21,631","3,683",..........,..........,"-9,578","-8,371","-1,207","157,464",
1968,269,94,"7,430",582,"80,355","4,072","2,474","13,074",973,"3,727",973,359,"4,180",645,"5,555","14,290","7,018","1,252","2,206",249,21,482,"2,814","4,722",449,"2,154",284,94,"23,760","4,290",..........,..........,"-10,712","-9,289","-1,424","178,134",
1969,289,110,"8,446",607,"80,771","3,990","2,393","15,411","1,055",713,"1,073",423,"4,161",631,"5,724","16,473","7,670","1,222","2,557",303,24,526,"2,803","4,251",490,"2,284",110,414,"26,885","2,918",..........,..........,"-11,087","-9,407","-1,681","183,640",
1970,353,133,"8,412",778,"80,123","4,594","2,393","17,397","1,089","2,432","1,087",537,"4,976",661,"6,136","19,070","8,652","1,168","2,974",384,29,530,"2,655","3,752",464,"2,652",253,458,"29,812","4,263",..........,..........,"-12,567","-10,362","-2,205","195,649",
1971,395,145,"8,673",783,"77,497","5,099","2,200","20,391","1,011","2,796","1,345",801,"8,456",680,"7,039","20,452","9,758","1,337","3,510",701,38,546,"2,888","3,382",522,"3,167",333,465,"35,408","5,223",..........,..........,"-14,869","-12,288","-2,582","210,172",
1972,499,173,"11,021",850,"77,645","5,537","2,299","25,309","1,340","3,600","1,609","1,053","10,426",747,"7,244","21,539","10,713","1,490","4,002",763,47,655,"2,980","3,423",567,"3,776",452,538,"39,620","5,082",355,..........,"-14,672","-11,909","-2,763","230,681",
1973,553,188,"10,167",934,"75,033","5,709","2,304","25,578","1,833","3,580","1,780","1,460","9,561",807,"7,834","30,201","11,970","1,676","4,505","1,114",50,795,"2,317","3,312",585,"4,607","1,317",567,"48,565","5,497",157,..........,"-18,846","-15,870","-2,975","245,707",
1974,638,207,"10,302",992,"77,864","5,747","2,233","28,062","1,661","4,781","1,854","1,728","9,964",955,"7,724","35,369","13,339","1,664","5,216","2,030",67,929,"3,029","3,255",647,"5,708",753,"2,750","55,373","7,076",773,..........,"-23,333","-20,048","-3,284","269,359",
1975,739,284,"15,518","1,077","84,852","7,331","3,230","33,751","2,099","7,512","2,221","1,985","18,578","1,075","9,144","41,843","16,577","2,031","6,319","2,531",93,341,"3,665","3,269",662,"7,062",666,"5,279","64,159","8,595","1,112",..........,"-21,267","-17,547","-3,719","332,332",
1976,788,325,"17,682","1,484","87,917","7,897","3,841","40,261","2,455","7,026","2,433","2,140","26,524","1,393","11,709","43,407","18,416","2,112","7,358","3,118",80,-13,"3,742","3,671",733,"8,323",624,"5,576","73,384","8,490","1,085",..........,"-22,186","-18,411","-3,775","371,792",
TQ,226,85,"5,009",396,"21,807","2,035","1,048","10,530",648,"1,361",855,548,"6,109",407,"2,902","10,272","3,959",581,"1,958","1,108",16,30,"1,329",953,207,"2,354",94,"1,290","19,763","3,297",-726,..........,"-4,477","-4,135",-342,"95,975",
1977,990,393,"23,287","2,010","95,147","8,717","5,049","46,493","2,755","5,808","3,220","2,220","23,225","1,449","11,978","48,061","18,020","2,271","8,251","4,365",74,70,"3,616","4,002",753,"9,633",758,"6,014","84,344","9,433",-173,..........,"-23,018","-19,390","-3,627","409,218",
1978,"1,064",437,"30,179","4,720","102,259","9,828","6,412","51,752","3,217","7,650","3,874","2,248","23,694","1,658","12,791","54,010","18,965","2,564","9,203","4,072",75,213,"5,123","4,164",803,"10,962","2,820","6,595","93,120","9,022",-496,..........,"-24,250","-20,788","-3,463","458,746",
1979,"1,099",481,"31,698","3,538","113,605","12,167","7,441","57,820","3,415","9,220","4,168","2,353","23,448","1,987","14,642","63,830","19,891","2,898","10,315","4,800",81,211,"3,757","4,380",870,"12,663","1,699","6,228","103,316","10,324",-891,..........,"-27,428","-24,089","-3,338","504,028",
1980,"1,224",567,"34,721","3,129","130,912","14,612","7,260","68,255","4,296","12,735","4,472","2,438","30,542","2,382","18,166","75,451","21,137","3,218","11,961","5,603",96,573,"7,747","4,959",912,"15,056","2,026","7,087","117,872","13,953",-431,..........,"-31,988","-28,445","-3,543","590,941",
1981,"1,214",641,"41,541","2,296","153,861","16,973","11,756","80,821","3,943","14,880","4,456","2,438","30,911","2,347","20,922","91,691","22,907","3,139","13,788","5,242",96,795,"8,127","5,537",976,"18,096","2,032","7,862","138,914","11,802",89,..........,"-41,852","-38,134","-3,718","678,241",
1982,"1,367",710,"45,623","2,054","180,693","14,707","11,656","88,408","3,847","15,232","3,944","2,325","31,479","2,684","17,931","109,418","23,941","2,962","14,997","5,081",95,550,"7,922","6,155","1,099","19,983",773,"8,520","155,120","9,184",-553,..........,"-42,165","-38,448","-3,717","745,743",
1983,"1,437",787,"52,317","1,925","204,356","14,433","10,590","95,008","4,689","15,814","4,552","2,493","38,683","2,793","18,239","115,366","24,827","2,918","16,004","4,312",94,528,"7,878","6,853","1,055","21,278",661,"29,854","150,731","8,644",322,..........,"-51,078","-47,455","-3,623","808,364",
1984,"1,577",866,"41,928","1,894","220,863","15,424","10,990","102,374","5,060","16,663","4,936","2,816","25,348","2,982","20,507","139,911","25,580","3,036","16,536","4,076",96,463,"10,835","7,055","1,193","22,590",510,"17,651","171,167","8,846",360,..........,"-52,329","-46,975","-5,354","851,805",
1985,"1,607",966,"55,435","2,139","245,109","16,596","10,586","114,270","5,007","28,720","4,804","3,182","24,738","3,303","22,510","163,688","26,322","2,998","15,809","4,490",111,364,"11,858","7,251","1,309","23,727",680,"16,793","183,434","7,051",142,..........,"-58,656","-52,029","-6,627","946,344",
1986,"1,662","1,071","58,599","2,083","265,440","17,577","11,025","122,940","5,383","14,139","4,774","3,336","24,934","3,590","24,885","178,076","26,523","2,806","17,483","4,867",108,713,"11,040","7,403","1,536","23,955",557,"19,316","190,684","8,871",42,..........,"-65,036","-57,850","-7,186","990,382",
1987,"1,810","1,180","49,507","2,127","273,919","16,670","10,692","131,410","5,383","15,484","5,037","3,807","24,208","3,572","22,851","178,684","26,932","2,757","17,962","4,904",110,462,"10,406","7,591","1,547","26,966",-65,"16,524","202,422","10,475",943,..........,"-72,262","-63,672","-8,590","1,004,017",
1988,"1,848","1,342","43,930","2,278","281,889","18,145","11,165","140,035","6,180","18,938","5,138","4,656","22,662","4,217","23,698","200,406","29,253","3,028","19,039","4,871",122,-95,"7,252","9,092","1,644","29,191",-54,"18,113","214,489","19,020","1,712",..........,"-78,789","-66,992","-11,798","1,064,416",
