Years,Legislative Branch,Judicial Branch,Department of Agriculture,Department of Commerce,Department of Defense--Military Programs,Department of Education,Department of Energy,Department of Health and Human Services,Department of Homeland Security,Department of Housing and Urban Development,Department of the Interior,Department of Justice,Department of Labor,Department of State,Department of Transportation,Department of the Treasury,Department of Veterans Affairs,Corps of Engineers--Civil Works,Other Defense Civil Programs,Environmental Protection Agency,Executive Office of the President,General Services Administration,International Assistance Programs,National Aeronautics and Space Administration,National Science Foundation,Office of Personnel Management,Small Business Administration,Social Security Administration (On-Budget),Social Security Administration (Off-Budget),Other Independent Agencies (On-Budget),Other Independent Agencies (Off-Budget),Allowances,Undistributed Offsetting Receipts,(On-budget),(Off-budget), Total budget authority,* 0.05 percent or less,,,,
1976,0.2,0.1,4.9,0.4,22.7,2.2,1.2,9.6,0.6,6.9,0.6,0.5,5.4,0.3,2.4,10.9,4.7,0.5,1.8,0.2,*,0.1,2.6,0.8,0.2,2.1,0.1,1.4,17.6,4.2,..........,..........,-5.3,-4.4,-0.9,100.0,,,,,
TQ,0.2,0.1,4.4,0.4,23.7,3.3,1.4,10.5,0.6,0.4,1.1,0.6,4.2,0.5,5.0,11.2,4.7,0.7,2.0,0.2,*,*,-0.8,1.0,0.2,2.5,*,1.6,20.7,4.2,..........,..........,-4.6,-4.3,-0.4,100.0,,,,,
1977,0.2,0.1,4.7,1.7,23.0,2.3,1.5,10.0,0.6,7.2,0.8,0.5,6.7,0.3,1.8,10.6,4.1,0.5,1.8,0.6,*,0.1,1.1,0.8,0.2,2.2,0.2,1.4,18.1,1.9,..........,..........,-4.9,-4.1,-0.8,100.0,,,,,
1978,0.2,0.1,5.3,0.4,22.7,2.3,2.1,10.3,0.7,7.5,0.9,0.4,3.3,0.4,2.5,11.2,3.8,0.6,1.8,1.1,*,*,1.7,0.8,0.2,2.3,0.7,1.2,18.6,1.8,..........,..........,-4.8,-4.1,-0.7,100.0,,,,,
1979,0.2,0.1,6.7,0.4,22.1,2.5,1.8,10.7,0.7,5.6,0.9,0.4,4.4,0.4,2.9,11.4,3.7,0.5,1.8,1.0,*,0.1,1.3,0.8,0.2,2.4,0.4,1.1,18.7,2.0,..........,..........,-4.9,-4.3,-0.6,100.0,,,,,
1980,0.2,0.1,5.9,0.4,21.0,2.3,1.6,10.4,0.7,5.4,0.7,0.3,4.5,0.4,2.7,13.4,3.2,0.5,1.8,0.7,*,0.1,1.9,0.8,0.1,2.3,0.3,1.1,17.8,4.3,..........,..........,-4.8,-4.2,-0.5,100.0,,,,,
1981,0.2,0.1,6.4,0.3,23.8,2.3,1.5,10.9,0.5,4.6,0.6,0.3,4.2,0.3,3.2,12.3,3.1,0.4,1.9,0.4,*,0.2,2.2,0.8,0.1,2.5,0.2,1.1,19.0,2.3,..........,..........,-5.7,-5.2,-0.5,100.0,,,,,
1982,0.2,0.1,7.1,0.2,26.2,1.9,1.5,10.7,0.6,2.6,0.5,0.3,4.0,0.3,2.6,13.7,3.1,0.4,1.9,0.5,*,0.1,1.4,0.8,0.1,2.6,0.1,1.1,19.4,1.4,..........,..........,-5.2,-4.8,-0.5,100.0,,,,,
1983,0.2,0.1,8.0,0.2,27.5,1.8,1.4,10.5,0.6,1.9,0.6,0.3,4.4,0.3,2.7,13.4,2.9,0.4,1.9,0.4,*,0.1,0.8,0.8,0.1,2.6,0.1,3.5,17.4,1.1,*,..........,-5.9,-5.5,-0.4,100.0,,,,,
1984,0.2,0.1,5.1,0.2,28.0,1.7,1.2,11.2,0.6,2.0,0.5,0.3,3.5,0.3,2.8,15.2,2.9,0.3,1.8,0.4,*,0.1,2.1,0.8,0.1,2.5,0.1,1.9,18.6,1.1,0.1,..........,-5.7,-5.1,-0.6,100.0,,,,,
