Years,Legislative Branch,Judicial Branch,Department of Agriculture,Department of Commerce,Department of Defense--Military Programs,Department of Education,Department of Energy,Department of Health and Human Services,Department of Homeland Security,Department of Housing and Urban Development,Department of the Interior,Department of Justice,Department of Labor,Department of State,Department of Transportation,Department of the Treasury,Department of Veterans Affairs,Corps of Engineers--Civil Works,Other Defense Civil Programs,Environmental Protection Agency,Executive Office of the President,General Services Administration,International Assistance Programs,National Aeronautics and Space Administration,National Science Foundation,Office of Personnel Management,Small Business Administration,Social Security Administration (On-Budget),Social Security Administration (Off-Budget),Other Independent Agencies (On-Budget),Other Independent Agencies (Off-Budget),Allowances,Total discretionary budget authority,
1976,934,346,"4,527","1,737","95,740","8,249","5,260","8,005","2,094","21,551","2,858","2,049","7,821","1,191","4,627","4,316","4,920","2,177",64,772,70,282,"6,023","3,552",715,134,621,485,"1,086","5,563",..........,..........,"197,766",
TQ,226,87,"1,026",358,"22,965","3,015","1,400","1,664",529,167,"1,006",532,"1,103",456,783,"1,903","1,213",659,13,189,18,55,938,932,168,34,31,126,279,"2,707",..........,..........,"44,583",
1977,"1,055",429,"5,246","7,820","108,146","9,674","7,653","9,048","2,479","33,057","4,026","2,185","15,046","1,471","4,229","3,793","5,600","2,481",36,"2,764",79,339,"6,820","3,876",776,147,"1,068",526,"1,181","5,769",..........,..........,"246,819",
1978,"1,077",453,"5,781","1,897","114,688","10,097","11,274","10,274","3,000","37,320","4,837","2,192","5,934","1,725","4,880","4,480","6,237","2,778",35,"5,499",78,168,"8,314","4,244",863,152,"3,555",573,"1,292","6,243",..........,..........,"259,940",
1979,"1,114",514,"6,132","2,092","124,052","11,650","10,867","11,023","3,133","30,218","5,019","2,291","13,054","1,982","7,201","3,157","6,743","2,782",38,"5,403",83,361,"10,461","4,743",911,159,"2,081",603,"1,365","6,780",..........,..........,"276,016",
1980,"1,297",600,"6,693","2,619","141,346","11,717","6,778","13,640","3,977","33,326","4,950","2,234","11,220","2,282","8,367","16,289","7,026","3,249",57,"4,669",101,326,"9,623","5,350",987,164,"2,145",658,"1,451","8,096",..........,..........,"311,237",
1981,"1,226",647,"7,504","2,080","176,598","11,409","13,437","14,206","3,665","31,543","4,781","2,063","10,830","2,449","11,260","2,032","7,568","3,093",61,"3,026",104,394,"13,799","5,634","1,022",170,"1,355",719,"1,635","6,649",..........,..........,"340,959",
1982,"1,379",723,"6,955","1,840","212,203","10,689","12,985","13,896","4,229","18,839","4,499","2,278","6,479","2,631","11,197","3,202","8,464","2,990",60,"3,676",93,306,"10,489","6,200",996,139,748,780,"1,905","4,697",..........,..........,"355,567",
1983,"1,634",811,"8,008","1,984","238,854","11,265","12,638","14,697","4,399","15,802","5,240","2,643","8,065","2,789","8,972","3,614","9,508","3,412",68,"3,689",102,445,"12,065","7,065","1,094",140,"1,278",846,"2,120","5,035",..........,..........,"388,278",
1984,"1,629",891,"8,234","2,048","258,622","12,046","12,667","15,555","4,764","16,702","5,116","3,058","11,222","3,025","8,091","3,894","9,927","2,681",79,"4,067",110,344,"20,597","7,458","1,323",149,971,905,"2,080","5,393",..........,..........,"423,645",
1985,"1,550","1,040","9,095","2,323","287,090","14,057","14,104","16,601","4,714","17,026","5,459","3,309","7,709","3,636","8,598","4,457","10,764","2,891",89,"4,354",116,370,"18,232","7,573","1,502",149,"1,254",939,"2,110","5,481",..........,..........,"456,592",
1986,"1,580","1,031","8,537","2,111","281,980","13,388","11,797","16,495","4,724","14,889","4,682","3,341","7,173","4,110","7,425","4,376","10,716","2,726",98,"3,462",108,387,"14,690","7,807","1,458",140,714,985,"2,193","4,778",..........,..........,"437,903",
1987,"1,748","1,260","8,785","2,194","280,079","15,538","11,544","18,132","5,338","12,870","5,196","4,378","7,716","3,841","7,483","4,429","11,282","3,126",117,"5,364",119,198,"13,617","10,923","1,623",152,604,972,"2,147","4,988",..........,..........,"445,764",
1988,"1,776","1,330","9,096","2,465","284,334","16,235","12,982","19,349","5,393","12,700","5,321","4,686","7,906","3,909","7,614","5,685","11,611","3,247",97,"5,027",126,37,"12,873","9,061","1,717",160,418,"1,119","2,257","4,719",..........,..........,"453,251",
1989,"1,840","1,349","10,103","2,769","291,435","17,138","13,425","20,710","6,975","12,399","5,605","5,447","7,970","4,176","8,174","5,851","12,331","3,236",107,"5,155",131,69,"12,246","10,872","1,922",175,419,"1,090","2,121","5,839",..........,..........,"471,081",
1990,"1,987","1,584","10,881","3,638","293,784","18,738","16,011","22,941","7,373","14,454","6,453","7,458","8,415","4,417","10,036","6,152","13,005","3,182",112,"5,491",179,"2,173","13,539","12,222","2,084",202,928,"1,090","2,223","5,955",..........,..........,"496,704",
