Years,National defense:,DoD-Military (051),Other Defense,Total National defense,Nondefense:,International affairs,"General science, space and technology:",General science and basic research,Space and other technology,"Total general science, space and technology",Energy,Natural resources and environment,Agriculture,Commerce and housing credit,Transportation:,Ground transportation,Air transportation,Water and other transportation,Total transportation,Community and regional development,"Education, training, employment and social services:",Education,"Training, employment and social services","Total education, training, employment and social services",Health,Medicare,Income security:,Housing assistance,Other,Total income security,Social security,Veterans benefits and services,Administration of justice,General government,Allowances,Total Nondefense,Total discretionary budget authority,
1976,,"95,740","1,828","97,567",,"8,410",,"1,037","3,227","4,264","3,597","6,856","1,131","3,581",,"2,970","2,270","1,304","6,545","4,166",,"8,835","9,260","18,096","6,220",775,,"18,621","2,169","20,790","1,086","4,931","3,389","6,363",..........,"100,199","197,766",
TQ,,"22,965",491,"23,455",,"1,557",,244,850,"1,094",943,"2,081",296,"1,109",,"1,277",524,301,"2,102",460,,"3,317","1,339","4,656","1,230",222,,111,529,641,279,"1,216",879,"2,363",..........,"21,127","44,583",
1977,,"108,146","2,216","110,362",,"9,514",,"1,129","3,498","4,627","5,586","10,620","1,197","4,543",,"2,110","2,454","1,306","5,869","12,245",,"10,508","16,328","26,836","6,856",836,,"28,632","2,518","31,150","1,181","5,612","3,714","6,071",..........,"136,457","246,819",
1978,,"114,688","2,661","117,349",,"11,033",,"1,270","3,807","5,076","9,015","14,650","1,401","4,178",,"2,886","2,692","1,564","7,141","9,838",,"11,030","7,428","18,458","7,703",914,,"32,305","2,755","35,060","1,292","6,249","3,971","6,614",..........,"142,591","259,940",
1979,,"124,052","2,828","126,880",,"13,303",,"1,344","4,223","5,567","8,446","14,662","1,574","4,325",,"5,164","3,048","1,689","9,900","8,967",,"12,607","15,039","27,646","8,317",985,,"24,789","3,363","28,152","1,365","6,756","4,337","4,834",..........,"149,136","276,016",
1980,,"141,346","3,156","144,502",,"12,874",,"1,456","4,790","6,246","17,445","14,613","1,535","6,162",,"6,250","3,181","1,766","11,197","9,804",,"12,660","12,632","25,292","8,812","1,078",,"27,663","5,680","33,344","1,451","7,043","4,493","5,347",..........,"166,736","311,237",
1981,,"176,598","3,846","180,443",,"17,555",,"1,526","5,108","6,634","8,970","12,857","1,737","4,324",,"8,716","3,397","2,099","14,212","7,715",,"12,421","12,155","24,576","8,729","1,207",,"26,078","6,537","32,615","1,635","7,583","4,518","5,648",..........,"160,515","340,959",
1982,,"212,203","4,976","217,179",,"14,222",,"1,524","5,683","7,208","8,280","13,121","1,684","3,259",,"8,450","3,223","2,432","14,105","6,267",,"11,698","7,305","19,003","8,205","1,221",,"13,879","6,822","20,701","1,905","8,479","4,844","5,884",..........,"138,388","355,567",
1983,,"238,854","6,118","244,972",,"16,017",,"1,627","6,517","8,145","6,928","14,585","1,907","3,556",,"5,466","3,939","2,380","11,785","7,602",,"12,338","8,580","20,918","8,795","1,369",,"10,028","7,915","17,943","2,120","9,526","5,468","6,644",..........,"143,306","388,278",
1984,,"258,622","6,963","265,584",,"25,170",,"1,957","6,858","8,815","6,029","13,967","2,003","3,775",,"4,267","4,316","2,679","11,262","6,611",,"13,092","11,864","24,956","9,343","1,553",,"11,401","8,083","19,484","2,080","9,946","6,152","6,915",..........,"158,061","423,645",
