Department or other unit,Legislative Branch,Judicial Branch,Department of Agriculture,Department of Commerce,Department of Defense--Military Programs,Department of Education,Department of Energy,Department of Health and Human Services,Department of Homeland Security,Department of Housing and Urban Development,Department of the Interior,Department of Justice,Department of Labor,Department of State,Department of Transportation,Department of the Treasury,Department of Veterans Affairs,Corps of Engineers--Civil Works,Other Defense Civil Programs,Environmental Protection Agency,Executive Office of the President,General Services Administration,International Assistance Programs,National Aeronautics and Space Administration,National Science Foundation,Office of Personnel Management,Small Business Administration,Social Security Administration (On-Budget),Social Security Administration (Off-Budget),Other Independent Agencies (On-Budget),Other Independent Agencies (Off-Budget),Allowances,Undistributed Offsetting Receipts,(On-budget),(Off-budget),Total outlays,* 0.05 percent or less
1962,0.2,0.1,6.0,0.2,46.9,0.8,2.6,3.3,0.5,0.8,0.6,0.2,3.7,0.4,3.6,7.9,5.2,0.9,0.9,0.1,*,0.4,3.0,1.2,0.2,1.0,0.2,..........,13.4,2.1,..........,..........,-6.3,-5.5,-0.8,100.0,
1963,0.2,0.1,6.7,0.3,45.9,0.9,2.4,3.7,0.6,-0.5,0.7,0.2,3.2,0.5,3.7,8.6,4.9,1.0,1.0,0.1,*,0.4,2.8,2.3,0.2,1.1,0.1,..........,14.2,1.5,..........,..........,-6.5,-5.8,-0.7,100.0,
1964,0.2,0.1,6.4,0.6,44.4,0.8,2.3,3.9,0.6,0.1,0.6,0.2,2.9,0.4,4.0,8.7,4.8,0.9,1.1,0.1,*,0.4,2.7,3.5,0.3,1.1,0.1,..........,14.0,1.0,..........,..........,-6.2,-5.4,-0.7,100.0,
1965,0.2,0.1,5.9,0.6,41.3,1.0,2.2,4.0,0.7,0.4,0.6,0.3,2.6,0.5,4.4,9.1,4.8,1.0,1.2,0.1,*,0.5,2.7,4.3,0.3,1.2,0.2,..........,14.8,1.5,..........,..........,-6.5,-5.7,-0.8,100.0,
1966,0.2,0.1,4.2,0.4,42.1,1.8,1.7,4.2,0.5,1.8,0.6,0.2,2.4,0.5,3.8,8.7,4.4,0.9,1.2,0.1,*,0.4,2.4,4.4,0.3,1.3,0.2,..........,15.4,1.9,..........,..........,-6.3,-5.5,-0.7,100.0,
1967,0.2,0.1,3.8,0.3,44.5,2.3,1.4,6.1,0.5,2.0,0.5,0.2,2.3,0.4,3.3,8.1,4.2,0.8,1.2,0.1,*,0.4,2.1,3.4,0.3,1.2,0.1,0.1,13.7,2.3,..........,..........,-6.1,-5.3,-0.8,100.0,
1968,0.2,0.1,4.2,0.3,45.1,2.3,1.4,7.3,0.5,2.1,0.5,0.2,2.3,0.4,3.1,8.0,3.9,0.7,1.2,0.1,*,0.3,1.6,2.7,0.3,1.2,0.2,0.1,13.3,2.4,..........,..........,-6.0,-5.2,-0.8,100.0,
1969,0.2,0.1,4.6,0.3,44.0,2.2,1.3,8.4,0.6,0.4,0.6,0.2,2.3,0.3,3.1,9.0,4.2,0.7,1.4,0.2,*,0.3,1.5,2.3,0.3,1.2,0.1,0.2,14.6,1.6,..........,..........,-6.0,-5.1,-0.9,100.0,
1970,0.2,0.1,4.3,0.4,41.0,2.3,1.2,8.9,0.6,1.2,0.6,0.3,2.5,0.3,3.1,9.7,4.4,0.6,1.5,0.2,*,0.3,1.4,1.9,0.2,1.4,0.1,0.2,15.2,2.2,..........,..........,-6.4,-5.3,-1.1,100.0,
1971,0.2,0.1,4.1,0.4,36.9,2.4,1.0,9.7,0.5,1.3,0.6,0.4,4.0,0.3,3.3,9.7,4.6,0.6,1.7,0.3,*,0.3,1.4,1.6,0.2,1.5,0.2,0.2,16.8,2.5,..........,..........,-7.1,-5.8,-1.2,100.0,
1972,0.2,0.1,4.8,0.4,33.7,2.4,1.0,11.0,0.6,1.6,0.7,0.5,4.5,0.3,3.1,9.3,4.6,0.6,1.7,0.3,*,0.3,1.3,1.5,0.2,1.6,0.2,0.2,17.2,2.2,0.2,..........,-6.4,-5.2,-1.2,100.0,
